Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-07T18:04:47.565Z","On-Demand","composer-1","No","0","35368","423829","1610","460807","0.15"
"2025-11-07T18:01:26.715Z","Included","grok-code-fast-1","No","0","298017","3217495","3131","3518643","0.13"
"2025-11-07T17:57:52.494Z","On-Demand","composer-1","No","0","68733","255903","2123","326759","0.14"
"2025-11-07T17:53:13.032Z","On-Demand","composer-1","No","0","95825","1906258","6709","2008792","0.60"
"2025-11-07T17:51:00.972Z","On-Demand","composer-1","No","0","25872","1262633","8814","1297319","0.37"
"2025-11-07T17:49:58.717Z","On-Demand","composer-1","No","0","12906","353663","7578","374147","0.13"
"2025-11-07T17:48:56.235Z","On-Demand","composer-1","No","0","27832","528744","3233","559809","0.17"
"2025-11-07T17:42:45.504Z","On-Demand","composer-1","No","0","60800","1043380","6948","1111128","0.35"
"2025-11-07T17:39:12.131Z","On-Demand","composer-1","No","0","57047","1454516","10272","1521835","0.46"
"2025-11-07T17:36:52.573Z","On-Demand","composer-1","No","0","58482","374405","3014","435901","0.16"
"2025-11-07T17:35:35.868Z","On-Demand","gemini-2.5-pro","No","0","7220","59211","211","66642","0.02"
"2025-11-07T17:34:27.241Z","On-Demand","gemini-2.5-pro","No","0","73120","178887","1644","253651","0.13"
"2025-11-07T17:31:23.660Z","Included","grok-code-fast-1","No","0","5038","636643","2723","644404","0.02"
"2025-11-07T17:26:20.835Z","Included","grok-code-fast-1","No","0","42472","301974","956","345402","0.02"
"2025-11-07T17:20:57.171Z","Included","grok-code-fast-1","No","0","45255","730496","1648","777399","0.03"
"2025-11-07T11:48:13.635Z","Included","grok-code-fast-1","No","0","15274","205317","589","221180","0.01"
"2025-11-07T11:46:09.671Z","On-Demand","claude-4.5-sonnet","No","7781","1883","135927","945","146536","0.09"
"2025-11-07T11:43:21.908Z","On-Demand","claude-4.5-sonnet","No","42923","119933","57878","5381","226115","0.24"
"2025-11-07T11:40:11.215Z","Included","grok-code-fast-1","No","0","116530","443674","576","560780","0.03"
"2025-11-07T11:28:29.622Z","Included","grok-code-fast-1","No","0","82349","537609","1238","621196","0.03"
"2025-11-07T10:59:10.950Z","Included","grok-code-fast-1","No","0","74201","335745","4280","414226","0.03"
"2025-11-07T10:56:50.759Z","Included","grok-code-fast-1","No","0","2968","683166","722","686856","0.02"
"2025-11-07T10:55:18.847Z","On-Demand","claude-4.5-sonnet","No","78974","1995","166590","4569","252128","0.41"
"2025-11-07T10:52:44.916Z","Included","grok-code-fast-1","No","0","127887","412261","406","540554","0.03"
"2025-11-06T23:27:14.781Z","Included","grok-code-fast-1","No","0","4579","889485","1343","895407","0.02"
"2025-11-06T23:26:32.787Z","Included","grok-code-fast-1","No","0","4215","259837","615","264667","0.01"
"2025-11-06T23:24:39.480Z","Included","grok-code-fast-1","No","0","5898","905783","1295","912976","0.02"
"2025-11-06T23:23:18.010Z","Included","grok-code-fast-1","No","0","40745","75240","249","116234","0.01"
"2025-11-06T23:22:34.646Z","Included","grok-code-fast-1","No","0","0","0","0","0","0.00"
"2025-11-06T23:19:39.200Z","On-Demand","claude-4.5-sonnet","No","61303","984","1003019","2813","1068119","0.57"
"2025-11-06T23:17:47.652Z","On-Demand","claude-4.5-sonnet","No","211199","112832","142567","8550","475148","0.90"
"2025-11-06T23:15:34.730Z","Included","grok-code-fast-1","No","0","6486","1438942","1605","1447033","0.03"
"2025-11-06T23:09:04.569Z","Included","grok-code-fast-1","No","0","114153","3010983","4725","3129861","0.09"
"2025-11-06T23:05:56.108Z","Included","grok-code-fast-1","No","0","115543","127171","559","243273","0.03"
"2025-11-06T23:01:51.025Z","On-Demand","claude-4.5-sonnet","No","125382","2709","544862","4443","677396","0.70"
"2025-11-06T22:40:37.966Z","On-Demand","claude-4.5-sonnet","No","117068","826","4007847","20447","4146188","1.95"
"2025-11-06T22:35:30.358Z","On-Demand","claude-4.5-sonnet","No","28769","1750","295539","2875","328933","0.24"
"2025-11-06T22:33:54.155Z","On-Demand","claude-4.5-sonnet","No","26807","785","115495","989","144076","0.15"
"2025-11-06T22:30:51.478Z","Included","grok-code-fast-1","No","0","923","265946","180","267049","0.01"
"2025-11-06T22:29:46.062Z","Included","grok-code-fast-1","No","0","4081","390720","310","395111","0.01"
"2025-11-06T22:20:29.098Z","Included","grok-code-fast-1","No","0","120695","518488","607","639790","0.04"
"2025-11-06T22:14:39.989Z","Included","grok-code-fast-1","No","0","108280","1867146","6966","1982392","0.07"
"2025-11-06T22:12:07.381Z","On-Demand","claude-4.5-sonnet","No","110309","1842","119920","2798","234869","0.49"
"2025-11-06T22:10:29.965Z","Included","grok-code-fast-1","No","0","84797","538406","754","623957","0.03"
"2025-11-06T21:58:57.991Z","Included","grok-code-fast-1","No","0","81692","433085","2499","517276","0.03"
"2025-11-06T21:56:03.272Z","On-Demand","composer-1","No","0","21496","1592946","4538","1618980","0.44"
"2025-11-06T21:55:49.302Z","On-Demand","composer-1","No","0","48484","79067","378","127929","0.07"
"2025-11-06T21:52:53.936Z","On-Demand","composer-1","No","0","127588","1876898","5706","2010192","0.62"
"2025-11-06T21:42:17.930Z","On-Demand","composer-1","No","0","45528","1992898","10214","2048640","0.58"
"2025-11-06T21:41:11.832Z","On-Demand","composer-1","No","0","101144","419248","3627","524019","0.22"
"2025-11-06T20:49:31.403Z","On-Demand","composer-1","No","0","77583","824031","7487","909101","0.31"
"2025-11-06T20:43:12.463Z","On-Demand","composer-1","No","0","307","0","3","310","0.000"
"2025-11-06T20:37:01.752Z","On-Demand","composer-1","No","0","18970","99446","2473","120889","0.05"
"2025-11-06T20:35:24.726Z","On-Demand","gemini-2.5-pro","No","0","32886","60603","1488","94977","0.06"
"2025-11-06T20:34:50.322Z","Included","grok-code-fast-1","No","0","919","21091","323","22333","0.001"
"2025-11-06T20:34:10.205Z","Included","grok-code-fast-1","No","0","12186","46848","375","59409","0.004"
"2025-11-06T20:25:04.256Z","Included","grok-code-fast-1","No","0","12493","251070","2531","266094","0.01"
"2025-11-06T20:16:23.876Z","Included","grok-code-fast-1","No","0","36587","450499","1617","488703","0.02"
"2025-11-06T20:16:02.753Z","Errored, Not Charged","gemini-2.5-pro","No","0","1516","1377","19","2912","0.001"
"2025-11-06T20:15:44.031Z","Errored, Not Charged","gemini-2.5-pro","No","0","913","668","8","1589","0.000"
"2025-11-06T20:01:35.180Z","On-Demand","claude-4.5-sonnet","No","32131","2768","9041","2096","46036","0.16"
"2025-11-06T19:59:17.349Z","On-Demand","gpt-5-codex","No","0","28959","3456","1088","33503","0.05"
"2025-11-06T19:54:28.228Z","On-Demand","gpt-5-codex","No","0","46583","44697","2104","93384","0.08"
"2025-11-06T19:54:05.931Z","Included","grok-code-fast-1","No","0","1065","1307","20","2392","0.000"
"2025-11-06T19:50:45.089Z","Included","grok-code-fast-1","No","0","1065","1307","20","2392","0.000"
"2025-11-06T19:44:45.943Z","On-Demand","gpt-5-codex","No","0","35227","225397","3450","264074","0.10"
"2025-11-06T19:19:45.628Z","Included","grok-code-fast-1","No","0","1499","252967","189","254655","0.01"
"2025-11-06T19:19:05.739Z","Included","grok-code-fast-1","No","0","4535","498405","363","503303","0.01"
"2025-11-06T19:18:28.526Z","Included","grok-code-fast-1","No","0","70738","89934","2663","163335","0.02"
"2025-11-06T19:14:08.809Z","Included","grok-code-fast-1","No","0","3440","219784","1272","224496","0.01"
"2025-11-06T19:08:18.769Z","On-Demand","grok-4-fast-reasoning","No","0","39932","18669","2435","61036","0.01"
"2025-11-06T19:07:07.605Z","On-Demand","grok-4-fast-reasoning","No","0","25332","36429","2315","64076","0.01"
"2025-11-06T19:04:56.611Z","Included","grok-code-fast-1","No","0","2087","604493","478","607058","0.01"
"2025-11-06T19:02:53.017Z","Included","grok-code-fast-1","No","0","15933","106755","407","123095","0.01"
"2025-11-06T19:02:15.951Z","Included","grok-code-fast-1","No","0","5019","70202","1011","76232","0.004"
"2025-11-06T18:59:08.254Z","Included","grok-code-fast-1","No","0","3464","349504","1382","354350","0.01"
"2025-11-06T18:54:43.324Z","Included","grok-code-fast-1","No","0","110493","1928802","1811","2041106","0.06"
"2025-11-06T18:53:38.143Z","Included","grok-code-fast-1","No","0","1981","203420","264","205665","0.005"
"2025-11-06T18:52:49.153Z","Included","grok-code-fast-1","No","0","15180","571554","553","587287","0.02"
"2025-11-06T18:52:33.136Z","Included","grok-code-fast-1","No","0","1398","256601","286","258285","0.01"
"2025-11-06T18:51:57.092Z","Included","grok-code-fast-1","No","0","77839","9430","105","87374","0.02"
"2025-11-06T18:51:15.124Z","On-Demand","gpt-5-codex","No","0","8484","69014","81","77579","0.02"
"2025-11-06T18:35:16.828Z","Included","grok-code-fast-1","No","0","65723","7848","1599","75170","0.02"
"2025-11-06T18:30:06.843Z","On-Demand","gpt-5-codex","No","0","67611","360231","1712","429554","0.15"
"2025-11-06T18:28:50.834Z","On-Demand","gemini-2.5-pro","No","0","76007","2157","1403","79567","0.11"
"2025-11-06T18:05:51.304Z","Included","grok-code-fast-1","No","0","3800","445393","1052","450245","0.01"
"2025-11-06T18:03:49.560Z","On-Demand","gpt-5-high","No","0","3026","65434","1886","70346","0.03"
"2025-11-06T17:52:55.392Z","On-Demand","gpt-5-high","No","0","65254","2053","3816","71123","0.12"
"2025-11-06T17:32:37.686Z","Included","grok-code-fast-1","No","0","113533","384903","682","499118","0.03"
"2025-11-06T17:19:50.355Z","Included","grok-code-fast-1","No","0","1807","339738","534","342079","0.01"
"2025-11-06T17:19:14.521Z","Included","grok-code-fast-1","No","0","1249","135769","255","137273","0.003"
"2025-11-06T17:17:54.141Z","Included","grok-code-fast-1","No","0","4847","652224","867","657938","0.02"
"2025-11-06T17:05:09.939Z","Included","grok-code-fast-1","No","0","2707","415466","628","418801","0.01"
"2025-11-06T17:03:41.013Z","Included","grok-code-fast-1","No","0","89602","503559","929","594090","0.03"
"2025-11-06T16:59:44.154Z","Included","grok-code-fast-1","No","0","14468","491775","6489","512732","0.02"
"2025-11-06T16:54:59.743Z","Included","grok-code-fast-1","No","0","141170","1050655","9606","1201431","0.06"
"2025-11-06T16:49:44.416Z","Included","grok-code-fast-1","No","0","133208","208143","2097","343448","0.03"
"2025-11-06T16:48:06.801Z","Included","grok-code-fast-1","No","0","64151","277325","1993","343469","0.02"
"2025-11-06T16:46:29.774Z","Included","grok-code-fast-1","No","0","108429","885893","1534","995856","0.04"
"2025-11-06T16:41:34.796Z","Included","grok-code-fast-1","No","0","94765","72581","318","167664","0.02"
"2025-11-06T16:39:07.965Z","Included","grok-code-fast-1","No","0","7192","632179","2189","641560","0.02"
"2025-11-06T16:37:58.466Z","Included","grok-code-fast-1","No","0","92185","123266","451","215902","0.02"
"2025-11-06T15:43:21.089Z","Included","grok-code-fast-1","No","0","6769","437990","2635","447394","0.01"
"2025-11-06T15:41:22.761Z","Included","grok-code-fast-1","No","0","11847","252557","822","265226","0.01"
"2025-11-06T15:38:37.343Z","Included","grok-code-fast-1","No","0","4359","569894","1744","575997","0.02"
"2025-11-06T15:35:09.931Z","Included","grok-code-fast-1","No","0","1973","148609","301","150883","0.004"
"2025-11-06T15:33:57.031Z","Included","grok-code-fast-1","No","0","957","49452","119","50528","0.001"
"2025-11-06T15:32:39.398Z","Included","grok-code-fast-1","No","0","124257","114124","603","238984","0.03"
"2025-11-06T15:23:27.407Z","Included","grok-code-fast-1","No","0","2952","298377","1131","302460","0.01"
"2025-11-06T15:20:23.534Z","Included","grok-code-fast-1","No","0","53678","64379","957","119014","0.01"
"2025-11-06T15:11:46.918Z","Included","grok-code-fast-1","No","0","31429","29576","954","61959","0.01"
"2025-11-06T15:07:58.348Z","Included","grok-code-fast-1","No","0","44092","1855002","6953","1906047","0.06"
"2025-11-06T14:58:32.689Z","Included","grok-code-fast-1","No","0","6931","647424","1486","655841","0.02"
"2025-11-06T14:55:25.089Z","Included","grok-code-fast-1","No","0","28455","722112","1967","752534","0.02"
"2025-11-06T14:47:56.866Z","Included","grok-code-fast-1","No","0","8312","983653","2143","994108","0.02"
"2025-11-06T14:43:59.052Z","Included","grok-code-fast-1","No","0","135903","1133928","3493","1273324","0.06"
"2025-11-06T14:41:27.926Z","Included","grok-code-fast-1","No","0","129642","946988","1856","1078486","0.05"
"2025-11-06T14:39:28.253Z","Included","grok-code-fast-1","No","0","11525","522851","491","534867","0.01"
"2025-11-06T14:31:41.837Z","Included","grok-code-fast-1","No","0","1021672","1779323","4989","2805984","0.25"
"2025-11-06T14:26:37.319Z","Errored, Not Charged","gpt-5-codex","No","0","92127","3968","1072","97167","0.13"
"2025-11-06T14:16:26.646Z","Included","grok-code-fast-1","No","0","23157","2541194","10757","2575108","0.07"
"2025-11-06T14:01:51.814Z","Included","grok-code-fast-1","No","0","257048","1470880","5644","1733572","0.09"
"2025-11-06T13:48:10.203Z","Included","grok-code-fast-1","No","0","624344","701806","14375","1340525","0.19"
"2025-11-06T13:41:45.179Z","On-Demand","gemini-2.5-pro","No","0","252384","2087","11293","265764","0.16"
"2025-11-05T22:32:57.361Z","Included","grok-code-fast-1","No","0","118508","2621329","3015","2742852","0.08"
"2025-11-05T22:26:55.852Z","On-Demand","claude-4.5-sonnet","No","93223","1683","795968","1743","892617","0.62"
"2025-11-05T22:23:32.656Z","On-Demand","claude-4.5-sonnet","No","81787","2065","463907","1688","549447","0.47"
"2025-11-05T22:21:01.687Z","Included","grok-code-fast-1","No","0","69847","533825","1305","604977","0.03"
"2025-11-05T20:55:26.869Z","Included","grok-code-fast-1","No","0","4827","546627","1950","553404","0.01"
"2025-11-05T20:52:48.036Z","Included","grok-code-fast-1","No","0","65873","379859","1265","446997","0.02"
"2025-11-05T20:48:52.900Z","Included","grok-code-fast-1","No","0","3705","597102","1035","601842","0.01"
"2025-11-05T20:45:08.112Z","Included","grok-code-fast-1","No","0","78647","366396","2363","447406","0.03"
"2025-11-05T20:35:50.631Z","Included","grok-code-fast-1","No","0","561710","5466152","9871","6037733","0.26"
"2025-11-05T20:33:02.959Z","Included","grok-code-fast-1","No","0","162521","1509911","694","1673126","0.06"
"2025-11-05T20:24:37.748Z","Included","grok-code-fast-1","No","0","5387","1422435","631","1428453","0.03"
"2025-11-05T20:24:18.585Z","Included","grok-code-fast-1","No","0","2738","174145","89","176972","0.004"
"2025-11-05T20:22:59.601Z","Included","grok-code-fast-1","No","0","3444","1550280","837","1554561","0.03"
"2025-11-05T20:21:03.688Z","Included","grok-code-fast-1","No","0","2460","508326","255","511041","0.01"
"2025-11-05T20:19:42.705Z","Included","grok-code-fast-1","No","0","870","17376","95","18341","0.001"
"2025-11-05T20:18:57.423Z","Included","grok-code-fast-1","No","0","2440","671248","463","674151","0.01"
"2025-11-05T20:17:39.792Z","Included","grok-code-fast-1","No","0","6998","169663","1834","178495","0.01"
"2025-11-05T20:13:16.414Z","Included","grok-code-fast-1","No","0","625667","3556847","2722","4185236","0.20"
"2025-11-05T20:08:18.074Z","Included","grok-code-fast-1","No","0","2143","101170","635","103948","0.004"
"2025-11-05T20:05:59.509Z","Included","grok-code-fast-1","No","0","40053","335976","2560","378589","0.02"
"2025-11-05T20:05:21.508Z","Included","grok-code-fast-1","No","0","33267","161343","1704","196314","0.01"
"2025-11-05T20:03:50.759Z","Included","grok-code-fast-1","No","0","148798","3805028","2534","3956360","0.11"
"2025-11-05T19:59:18.904Z","Included","grok-code-fast-1","No","0","136520","1785756","1545","1923821","0.07"
"2025-11-05T19:32:49.483Z","Included","grok-code-fast-1","No","0","306052","7135464","5726","7447242","0.21"
"2025-11-05T19:30:02.031Z","Included","grok-code-fast-1","No","0","251629","1281325","1489","1534443","0.08"
"2025-11-05T19:18:49.148Z","Included","grok-code-fast-1","No","0","132024","3435595","19272","3586891","0.12"
"2025-11-05T19:16:16.117Z","On-Demand","grok-4-fast-reasoning","No","0","38015","43467","3689","85171","0.01"
"2025-11-05T19:15:55.701Z","On-Demand","grok-4-fast-reasoning","No","0","16661","1492","77","18230","0.004"
"2025-11-05T19:08:59.954Z","Included","grok-code-fast-1","No","0","96810","811797","2211","910818","0.04"
"2025-11-05T19:01:44.357Z","Included","grok-code-fast-1","No","0","1906","294043","2465","298414","0.01"
"2025-11-05T18:55:44.261Z","Included","grok-code-fast-1","No","0","86943","193382","2111","282436","0.02"
"2025-11-05T18:52:51.103Z","Included","grok-code-fast-1","No","0","83071","9624","2432","95127","0.02"
"2025-11-05T18:37:04.483Z","Included","grok-code-fast-1","No","0","2000","88037","2480","92517","0.01"
"2025-11-05T18:32:35.312Z","Included","grok-code-fast-1","No","0","11484","410747","1278","423509","0.01"
"2025-11-05T18:26:48.595Z","Included","grok-code-fast-1","No","0","73797","1087574","2697","1164068","0.04"
"2025-11-05T18:21:56.892Z","Included","grok-code-fast-1","No","0","53534","799842","2532","855908","0.03"
"2025-11-05T14:24:42.093Z","Included","grok-code-fast-1","No","0","53362","101933","1394","156689","0.01"
"2025-11-05T14:19:08.530Z","Included","grok-code-fast-1","No","0","66293","7679","1496","75468","0.02"
"2025-11-05T14:10:02.147Z","Included","grok-code-fast-1","No","0","75869","2461409","4990","2542268","0.07"
"2025-11-05T13:58:41.584Z","Included","grok-code-fast-1","No","0","47717","282061","2603","332381","0.02"
"2025-11-05T01:29:44.885Z","On-Demand","composer-1","No","0","48880","62016","3212","114108","0.07"
"2025-11-04T22:00:18.431Z","On-Demand","claude-4.5-sonnet","No","50614","1829","67679","7164","127286","0.32"
"2025-11-04T22:00:09.476Z","Errored, Not Charged","claude-4.5-sonnet-thinking","No","0","1175","1281","18","2474","0.000"
"2025-11-04T22:00:06.303Z","Errored, Not Charged","claude-4.5-sonnet-thinking","No","0","1175","1281","18","2474","0.000"
"2025-11-04T21:40:21.494Z","On-Demand","gemini-2.5-pro","No","0","46340","2191","1812","50343","0.07"
"2025-11-04T19:59:32.765Z","On-Demand","claude-4.5-sonnet-thinking","No","35197","4720","9095","4936","53948","0.21"
"2025-11-04T19:02:31.029Z","On-Demand","claude-4.5-sonnet-thinking","No","32187","3897","40487","3967","80538","0.19"
"2025-11-04T18:34:58.508Z","On-Demand","claude-4.5-sonnet-thinking","No","35806","3427","40159","3816","83208","0.20"
"2025-11-04T14:45:40.003Z","On-Demand","claude-4.5-sonnet-thinking","No","60288","3448","284478","5141","353355","0.39"
"2025-11-04T14:24:58.853Z","On-Demand","claude-4.5-sonnet-thinking","No","50568","1839","68308","6864","127579","0.31"
"2025-11-04T14:11:48.032Z","On-Demand","claude-4.5-sonnet-thinking","No","6583","2198","125421","5480","139682","0.15"
"2025-11-04T14:07:53.728Z","On-Demand","claude-4.5-sonnet-thinking","No","38318","1992","49322","4795","94427","0.23"
"2025-11-04T13:52:06.168Z","On-Demand","claude-4.5-sonnet-thinking","No","29975","4444","95943","6023","136385","0.23"
"2025-11-04T13:45:42.413Z","Included","grok-code-fast-1","No","0","44093","593850","2593","640536","0.03"
"2025-11-04T12:58:44.625Z","Included","grok-code-fast-1","No","0","61908","314808","2645","379361","0.02"
"2025-11-03T22:49:59.771Z","On-Demand","composer-1","No","5034","780","437409","2260","445483","0.12"
"2025-11-03T22:48:47.613Z","On-Demand","composer-1","No","58254","759","14235","1820","75068","0.07"
"2025-11-03T22:47:30.248Z","On-Demand","composer-1","No","63408","1497","5280","1814","71999","0.07"
"2025-11-03T22:46:04.961Z","On-Demand","claude-4.5-sonnet","No","72329","1551","8744","1370","83994","0.29"
"2025-11-03T22:41:19.363Z","Included","grok-code-fast-1","No","0","1459","71104","624","73187","0.003"
"2025-11-03T22:40:28.479Z","Included","grok-code-fast-1","No","0","64990","7551","1473","74014","0.02"
"2025-11-03T22:36:36.411Z","On-Demand","gemini-2.5-pro","No","0","78780","1964","1589","82333","0.11"
"2025-11-03T22:25:54.997Z","On-Demand","claude-4.5-sonnet-thinking","No","59712","1855","212406","4016","277989","0.35"
"2025-11-03T22:25:04.358Z","On-Demand","claude-4.5-sonnet-thinking","No","41913","783","23689","1211","67596","0.18"
"2025-11-03T22:16:24.735Z","Included","grok-code-fast-1","No","0","118304","816966","1018","936288","0.04"
"2025-11-03T22:14:15.752Z","Included","grok-code-fast-1","No","0","115056","550998","1228","667282","0.04"
"2025-11-03T22:10:52.448Z","Included","grok-code-fast-1","No","0","8495","1239535","1400","1249430","0.03"
"2025-11-03T22:07:15.497Z","Included","grok-code-fast-1","No","0","93810","1522551","1710","1618071","0.05"
"2025-11-03T22:00:39.099Z","Included","grok-code-fast-1","No","0","75453","174613","483","250549","0.02"
"2025-11-03T21:58:51.091Z","On-Demand","composer-1","No","4282","1179","321934","1901","329296","0.09"
"2025-11-03T21:57:55.535Z","On-Demand","composer-1","No","4840","901","221178","1320","228239","0.07"
"2025-11-03T21:56:48.836Z","On-Demand","composer-1","No","14516","1329","268477","2403","286725","0.09"
"2025-11-03T21:55:54.979Z","On-Demand","composer-1","No","60325","1540","363498","5028","430391","0.17"
"2025-11-03T21:50:36.509Z","On-Demand","claude-4.5-sonnet-thinking","No","45199","1624","633326","5248","685397","0.44"
"2025-11-03T21:49:38.460Z","On-Demand","claude-4.5-sonnet-thinking","No","13674","827","102702","1566","118769","0.11"
"2025-11-03T21:45:16.917Z","On-Demand","claude-4.5-sonnet-thinking","No","138503","2402","157904","2420","301229","0.61"
"2025-11-03T21:39:34.941Z","Included","grok-code-fast-1","No","0","10279","207500","3769","221548","0.01"
"2025-11-03T21:37:14.123Z","Included","grok-code-fast-1","No","0","17845","448909","5095","471849","0.02"
"2025-11-03T21:35:05.693Z","Included","grok-code-fast-1","No","0","70560","157307","2117","229984","0.02"
"2025-11-03T21:29:44.790Z","On-Demand","claude-4.5-sonnet-thinking","No","238241","95902","750703","23097","1107943","1.32"
"2025-11-03T21:27:53.928Z","On-Demand","composer-1","No","43933","878","922085","3945","970841","0.29"
"2025-11-03T21:24:32.031Z","On-Demand","composer-1","No","28897","1427","875456","5753","911533","0.27"
"2025-11-03T21:23:20.672Z","On-Demand","composer-1","No","6533","952","163085","638","171208","0.05"
"2025-11-03T21:21:48.312Z","On-Demand","composer-1","No","26655","794","133810","2065","163324","0.07"
"2025-11-03T21:13:22.442Z","On-Demand","composer-1","No","111309","118033","1085506","20460","1335308","0.48"
"2025-11-03T20:53:00.939Z","On-Demand","composer-1","No","431858","1939","2526623","7687","2968107","1.09"
"2025-11-03T20:52:06.386Z","On-Demand","composer-1","No","14424","1156","395618","798","411996","0.12"
"2025-11-03T20:49:13.051Z","On-Demand","composer-1","No","89566","511","434778","2703","527558","0.21"
"2025-11-03T20:39:45.312Z","Included","grok-code-fast-1","No","0","153454","2879230","2730","3035414","0.09"
"2025-11-03T20:29:09.990Z","Included","grok-code-fast-1","No","0","185641","5939504","7613","6132758","0.17"
"2025-11-03T20:19:34.994Z","Included","grok-code-fast-1","No","0","1035","134502","120","135657","0.003"
"2025-11-03T20:17:26.396Z","Included","grok-code-fast-1","No","0","112852","703803","552","817207","0.04"
"2025-11-03T20:12:52.096Z","On-Demand","composer-1","No","75525","120233","3555104","16501","3767363","1.05"
"2025-11-03T19:53:23.753Z","On-Demand","composer-1","No","338860","794","3977025","6985","4323664","1.36"
"2025-11-03T19:52:06.791Z","Included","grok-code-fast-1","No","0","6249","1317240","1612","1325101","0.03"
"2025-11-03T19:50:08.054Z","Included","grok-code-fast-1","No","0","18243","1735335","12310","1765888","0.06"
"2025-11-03T19:45:03.557Z","Included","grok-code-fast-1","No","0","129597","1504153","7052","1640802","0.07"
"2025-11-03T19:43:23.671Z","Included","grok-code-fast-1","No","0","7966","1014665","1365","1023996","0.02"
"2025-11-03T19:42:45.621Z","Included","grok-code-fast-1","No","0","15148","1151398","769","1167315","0.03"
"2025-11-03T19:38:27.967Z","Included","grok-code-fast-1","No","0","18002","2643473","4431","2665906","0.06"
"2025-11-03T19:26:24.356Z","Included","grok-code-fast-1","No","0","92543","2450212","24220","2566975","0.10"
"2025-11-03T19:23:25.492Z","Included","grok-code-fast-1","No","0","184111","5010695","8880","5203686","0.15"
"2025-11-03T19:18:12.101Z","Included","grok-code-fast-1","No","0","234492","7371423","14220","7620135","0.22"
"2025-11-03T19:17:47.264Z","Included","grok-code-fast-1","No","0","2408","528388","576","531372","0.01"
"2025-11-03T19:11:05.894Z","Included","grok-code-fast-1","No","0","170939","2574718","11692","2757349","0.10"
"2025-11-03T19:03:03.800Z","Included","grok-code-fast-1","No","0","181919","2301354","10801","2494074","0.10"
"2025-11-03T18:57:48.508Z","Included","grok-code-fast-1","No","0","47968","1237862","10304","1296134","0.05"
"2025-11-03T18:52:02.218Z","On-Demand","claude-4.5-sonnet-thinking","No","18465","1565","494748","9812","524590","0.36"
"2025-11-03T18:50:44.382Z","On-Demand","claude-4.5-sonnet-thinking","No","20951","1098","75053","1080","98182","0.12"
